Algorithm,Parameters,F1 Score,Adjusted Rand Score,Silhouette Score,Execution Time,dataset
KMeans,"{'init': 'random', 'max_iter': 300, 'n_clusters': 4}",0.3223568199945111,0.4435107669435434,0.4028024547449467,0.4820308685302734,satelite
AgglomerativeClustering,"{'affinity': 'euclidean', 'linkage': 'average', 'n_clusters': 4}",0.3082159228965455,0.2919366250261462,0.379615684873931,7.710691690444946,satelite
DBSCAN,"{'eps': 0.5, 'min_samples': 7}",0.0921666708143576,0.0046575099280592,0.1750487185460201,0.9536533355712892,satelite
OPTICS,"{'min_samples': 3, 'xi': 0.01}",0.0024718408320165,0.0143832846971396,-0.5567567178895235,215.80982947349548,satelite
GaussianMixture,"{'covariance_type': 'spherical', 'max_iter': 500, 'n_components': 4}",0.1988441434667719,0.3940917473187277,0.3976632584779559,0.3274123668670654,satelite
MeanShift,{'bandwidth': 0.5},0.0276259448309458,0.5165427632973363,0.3658703781113412,182.99617671966556,satelite
SpectralClustering,"{'affinity': 'rbf', 'n_clusters': 4, 'n_neighbors': 10}",0.3101028813343384,0.4654506423030725,0.3895918399073266,37.078588008880615,satelite
Birch,"{'branching_factor': 100, 'n_clusters': 3, 'threshold': 1.0}",0.2041793013600437,0.2452972936957352,0.417224889521595,0.3930220603942871,satelite
AffinityPropagation,"{'damping': 0.7, 'preference': -50}",0.1664148945100256,0.382694590522609,0.2822675907034518,315.5354571342468,satelite
Ward,"{'affinity': 'euclidean', 'linkage': 'ward', 'n_clusters': 5}",0.2922145746356799,0.6233447062604313,0.33560237017353,6.634840726852417,satelite
