Algorithm,Parameters,F1 Score,Adjusted Rand Score,Silhouette Score,Execution Time
KMeans,"{'init': 'k-means++', 'max_iter': 100, 'n_clusters': 2}",0.5351749198597402,-0.0039785222672944,0.38688127897445596,0.3152937889099121
KMeans,"{'init': 'k-means++', 'max_iter': 100, 'n_clusters': 3}",0.49775801793585644,-0.0002444927105812692,0.33477226855027853,0.31208062171936035
KMeans,"{'init': 'k-means++', 'max_iter': 100, 'n_clusters': 4}",0.3046400438923071,-0.0033183942833994464,0.2924118173389931,0.30408382415771484
KMeans,"{'init': 'k-means++', 'max_iter': 300, 'n_clusters': 2}",0.5216408342495114,-0.0039785222672944,0.38688127897445596,0.2515532970428467
KMeans,"{'init': 'k-means++', 'max_iter': 300, 'n_clusters': 3}",0.3743174484983867,-0.0002444927105812692,0.33477226855027853,0.23206210136413574
KMeans,"{'init': 'k-means++', 'max_iter': 300, 'n_clusters': 4}",0.32802753855884786,-0.0016751373156779178,0.2897828224562125,0.24806451797485352
KMeans,"{'init': 'k-means++', 'max_iter': 500, 'n_clusters': 2}",0.5216408342495114,-0.0039785222672944,0.38688127897445596,0.22405767440795898
KMeans,"{'init': 'k-means++', 'max_iter': 500, 'n_clusters': 3}",0.38954516232722597,-0.0002444927105812692,0.33477226855027853,0.23531222343444824
KMeans,"{'init': 'k-means++', 'max_iter': 500, 'n_clusters': 4}",0.39361397186789787,0.0004219590848842517,0.289843866224517,0.24806880950927734
KMeans,"{'init': 'random', 'max_iter': 100, 'n_clusters': 2}",0.5351749198597402,-0.0039785222672944,0.38688127897445596,0.22406005859375
KMeans,"{'init': 'random', 'max_iter': 100, 'n_clusters': 3}",0.3743174484983867,-0.0002444927105812692,0.33477226855027853,0.23206686973571777
KMeans,"{'init': 'random', 'max_iter': 100, 'n_clusters': 4}",0.34252365812692576,-0.0011037436310662033,0.29114558466337104,0.23206114768981934
KMeans,"{'init': 'random', 'max_iter': 300, 'n_clusters': 2}",0.5216408342495114,-0.0039785222672944,0.38688127897445596,0.21851539611816406
KMeans,"{'init': 'random', 'max_iter': 300, 'n_clusters': 3}",0.46439735314415614,-0.0002444927105812692,0.33477226855027853,0.22405600547790527
KMeans,"{'init': 'random', 'max_iter': 300, 'n_clusters': 4}",0.29818023708667213,-0.0011037436310662033,0.29114558466337104,0.22406005859375
