Algorithm,Parameters,F1 Score,Adjusted Rand Score,Silhouette Score,Execution Time
KMeans,"{'init': 'k-means++', 'max_iter': 100, 'n_clusters': 2}",0.3586778152993559,0.3702270932278303,0.29872218159747743,0.3632674217224121
KMeans,"{'init': 'k-means++', 'max_iter': 100, 'n_clusters': 3}",0.04431960049937578,0.8536602842727952,0.3008938518500134,0.3292536735534668
KMeans,"{'init': 'k-means++', 'max_iter': 100, 'n_clusters': 4}",0.0,0.7509168592139368,0.25993667561623146,0.3361680507659912
KMeans,"{'init': 'k-means++', 'max_iter': 300, 'n_clusters': 2}",0.3586778152993559,0.3702270932278303,0.29872218159747743,0.3185715675354004
KMeans,"{'init': 'k-means++', 'max_iter': 300, 'n_clusters': 3}",0.36422846441947565,0.8685425493202144,0.3013463273503232,0.2872958183288574
KMeans,"{'init': 'k-means++', 'max_iter': 300, 'n_clusters': 4}",0.199438202247191,0.7509168592139368,0.25993667561623146,0.3040800094604492
KMeans,"{'init': 'k-means++', 'max_iter': 500, 'n_clusters': 2}",0.21837926056117005,0.3702270932278303,0.29872218159747743,0.2918999195098877
KMeans,"{'init': 'k-means++', 'max_iter': 500, 'n_clusters': 3}",0.04431960049937578,0.8536602842727952,0.3008938518500134,0.3036348819732666
KMeans,"{'init': 'k-means++', 'max_iter': 500, 'n_clusters': 4}",0.6402767898995991,0.7503766773376932,0.24948943344866764,0.30924201011657715
KMeans,"{'init': 'random', 'max_iter': 100, 'n_clusters': 2}",0.21837926056117005,0.3702270932278303,0.29872218159747743,0.27615857124328613
KMeans,"{'init': 'random', 'max_iter': 100, 'n_clusters': 3}",0.01208716377255703,0.8536602842727952,0.3008938518500134,0.35362982749938965
KMeans,"{'init': 'random', 'max_iter': 100, 'n_clusters': 4}",0.199438202247191,0.7509168592139368,0.25993667561623146,0.2991499900817871
KMeans,"{'init': 'random', 'max_iter': 300, 'n_clusters': 2}",0.3586778152993559,0.3702270932278303,0.29872218159747743,0.2766566276550293
KMeans,"{'init': 'random', 'max_iter': 300, 'n_clusters': 3}",0.01208716377255703,0.8536602842727952,0.3008938518500134,0.2949249744415283
KMeans,"{'init': 'random', 'max_iter': 300, 'n_clusters': 4}",0.01318599684278949,0.7509168592139368,0.25993667561623146,0.23133182525634766
KMeans,"{'init': 'random', 'max_iter': 500, 'n_clusters': 2}",0.3586778152993559,0.3702270932278303,0.29872218159747743,0.21605825424194336
KMeans,"{'init': 'random', 'max_iter': 500, 'n_clusters': 3}",0.2634234788156464,0.8536602842727952,0.3008938518500134,0.20805573463439941
KMeans,"{'init': 'random', 'max_iter': 500, 'n_clusters': 4}",0.26415959642283876,0.7547226468895967,0.25975014122369366,0.21397972106933594
AgglomerativeClustering,"{'affinity': 'euclidean', 'linkage': 'complete', 'n_clusters': 2}",0.017994424262904454,0.5499067956270987,0.25652978717971897,0.02459883689880371
AgglomerativeClustering,"{'affinity': 'euclidean', 'linkage': 'complete', 'n_clusters': 3}",0.26098738635699015,0.8101984932408013,0.27361994708059667,0.015628814697265625
AgglomerativeClustering,"{'affinity': 'euclidean', 'linkage': 'complete', 'n_clusters': 4}",0.9348940980708089,0.8214459503186963,0.24582324970467156,0.015623092651367188
AgglomerativeClustering,"{'affinity': 'euclidean', 'linkage': 'complete', 'n_clusters': 5}",0.3686584950629895,0.8274459434292951,0.23142821786994108,0.012923002243041992
AgglomerativeClustering,"{'affinity': 'euclidean', 'linkage': 'average', 'n_clusters': 2}",0.17681023720349562,-0.001963001963001963,0.26375348680377736,0.0026006698608398438
AgglomerativeClustering,"{'affinity': 'euclidean', 'linkage': 'average', 'n_clusters': 3}",0.17751547268042603,-0.00381934509398756,0.13635405770871056,0.01562976837158203
AgglomerativeClustering,"{'affinity': 'euclidean', 'linkage': 'average', 'n_clusters': 4}",0.24707052642898966,0.454402932137837,0.24769038725373868,0.0
AgglomerativeClustering,"{'affinity': 'euclidean', 'linkage': 'average', 'n_clusters': 5}",0.2506722539337992,0.4457884413763676,0.21598019562127646,0.015623092651367188
AgglomerativeClustering,"{'affinity': 'manhattan', 'linkage': 'complete', 'n_clusters': 2}",0.017994424262904454,0.5499067956270987,0.25652978717971897,0.0
AgglomerativeClustering,"{'affinity': 'manhattan', 'linkage': 'complete', 'n_clusters': 3}",0.26819713479226853,0.837371015547774,0.28253406639384465,0.03125596046447754
AgglomerativeClustering,"{'affinity': 'manhattan', 'linkage': 'complete', 'n_clusters': 4}",0.8158996365279184,0.689184067176388,0.22547439712139333,0.015624046325683594
AgglomerativeClustering,"{'affinity': 'manhattan', 'linkage': 'complete', 'n_clusters': 5}",0.24245428508482048,0.6968281165812061,0.22796088917896282,0.015624284744262695
AgglomerativeClustering,"{'affinity': 'manhattan', 'linkage': 'average', 'n_clusters': 2}",0.17681023720349562,-0.001963001963001963,0.26375348680377736,0.016003131866455078
AgglomerativeClustering,"{'affinity': 'manhattan', 'linkage': 'average', 'n_clusters': 3}",0.47729040622299046,0.4363836560895574,0.27944783528444056,0.016005992889404297
AgglomerativeClustering,"{'affinity': 'manhattan', 'linkage': 'average', 'n_clusters': 4}",0.4785043217894263,0.4334442249863341,0.23441781816240967,0.01562666893005371
AgglomerativeClustering,"{'affinity': 'manhattan', 'linkage': 'average', 'n_clusters': 5}",0.01208716377255703,0.8211051602615367,0.2822553826275368,0.01562643051147461
AgglomerativeClustering,"{'affinity': 'cosine', 'linkage': 'complete', 'n_clusters': 2}",0.22798828591919673,0.4391798619311299,0.28429963293508287,0.0176088809967041
AgglomerativeClustering,"{'affinity': 'cosine', 'linkage': 'complete', 'n_clusters': 3}",0.019943820224719102,0.44680388106640634,0.22778689209511765,0.002675771713256836
AgglomerativeClustering,"{'affinity': 'cosine', 'linkage': 'complete', 'n_clusters': 4}",0.18474275576581906,0.4435765561133712,0.21705280650756908,0.01562666893005371
AgglomerativeClustering,"{'affinity': 'cosine', 'linkage': 'complete', 'n_clusters': 5}",0.6575865866437025,0.4008287054103705,0.19724468712116272,0.01151275634765625
AgglomerativeClustering,"{'affinity': 'cosine', 'linkage': 'average', 'n_clusters': 2}",0.17681023720349562,-0.001963001963001963,0.18601934145601798,0.003250598907470703
AgglomerativeClustering,"{'affinity': 'cosine', 'linkage': 'average', 'n_clusters': 3}",0.4855209995076924,0.4811053338936954,0.2643700231232294,0.015625715255737305
AgglomerativeClustering,"{'affinity': 'cosine', 'linkage': 'average', 'n_clusters': 4}",0.5216094873558759,0.468506884246052,0.21860794937493044,0.01562976837158203
AgglomerativeClustering,"{'affinity': 'cosine', 'linkage': 'average', 'n_clusters': 5}",0.6891892565526454,0.4640921770562932,0.20843819687712323,0.007997989654541016
DBSCAN,"{'eps': 0.5, 'min_samples': 3}",0.2671425811697793,0.4212180245361646,0.23005412718122614,0.01600337028503418
DBSCAN,"{'eps': 0.5, 'min_samples': 5}",0.2685809111938047,0.42288844789430613,0.22552795030438744,0.016954660415649414
DBSCAN,"{'eps': 0.5, 'min_samples': 7}",0.2562771456897366,0.4263605167069214,0.2135398753843134,0.015630006790161133
OPTICS,"{'min_samples': 3, 'xi': 0.01}",0.07030983997276133,0.07325633220841059,-0.13912233893730355,0.4521677494049072
OPTICS,"{'min_samples': 3, 'xi': 0.05}",0.07030983997276133,0.005053085702763929,-0.2302247415919207,0.44197607040405273
OPTICS,"{'min_samples': 3, 'xi': 0.1}",0.10373955632382599,-0.004443413627932374,-0.27241736384399473,0.43294310569763184
OPTICS,"{'min_samples': 5, 'xi': 0.01}",0.05179073033707865,0.08575742987781758,-0.18105664910190064,0.44256091117858887
OPTICS,"{'min_samples': 5, 'xi': 0.05}",0.11969413233458176,0.04363668700171038,-0.22182816985307377,0.42041969299316406
OPTICS,"{'min_samples': 5, 'xi': 0.1}",0.0,0.019175136420381485,-0.0024207809724044256,0.43787240982055664
OPTICS,"{'min_samples': 7, 'xi': 0.01}",0.11969413233458176,0.09390242248302852,-0.15653193396999956,0.48457884788513184
OPTICS,"{'min_samples': 7, 'xi': 0.05}",0.0,0.016064104146693563,-0.14906379149027157,0.41456007957458496
GaussianMixture,"{'covariance_type': 'full', 'max_iter': 100, 'n_components': 2}",0.2663425297053586,0.43943910439476336,0.29824776909070244,0.05601644515991211
GaussianMixture,"{'covariance_type': 'full', 'max_iter': 100, 'n_components': 3}",0.33377910791296816,0.8961288077970022,0.2962530654753313,0.04001116752624512
GaussianMixture,"{'covariance_type': 'full', 'max_iter': 100, 'n_components': 4}",0.24784553288971306,0.7209805209884116,0.24865057444508767,0.05601644515991211
GaussianMixture,"{'covariance_type': 'full', 'max_iter': 300, 'n_components': 2}",0.3335414865110506,0.3844533416126258,0.3003885374166618,0.03200960159301758
GaussianMixture,"{'covariance_type': 'full', 'max_iter': 300, 'n_components': 3}",0.27948574193399744,0.8974949815093207,0.2927455860995386,0.04001164436340332
GaussianMixture,"{'covariance_type': 'full', 'max_iter': 300, 'n_components': 4}",0.03298941227312014,0.8696555709319155,0.27705797881272204,0.032009124755859375
GaussianMixture,"{'covariance_type': 'full', 'max_iter': 500, 'n_components': 2}",0.3335414865110506,0.3844533416126258,0.3003885374166618,0.024005413055419922
GaussianMixture,"{'covariance_type': 'full', 'max_iter': 500, 'n_components': 3}",0.019616872352182724,0.8974949815093207,0.2927455860995386,0.040010929107666016
GaussianMixture,"{'covariance_type': 'full', 'max_iter': 500, 'n_components': 4}",0.3217826456425267,0.7612235333898938,0.2508140823196654,0.0560150146484375
GaussianMixture,"{'covariance_type': 'tied', 'max_iter': 100, 'n_components': 2}",0.26863104792478787,0.4610041624800529,0.29438962795636403,0.025688648223876953
GaussianMixture,"{'covariance_type': 'tied', 'max_iter': 100, 'n_components': 3}",0.28175008512087163,0.9636510381114426,0.294773645028622,0.04015517234802246
GaussianMixture,"{'covariance_type': 'tied', 'max_iter': 100, 'n_components': 4}",0.019577800476676878,0.7931921830339435,0.2436618077122457,0.03200984001159668
