Algorithm,Parameters,F1 Score,Adjusted Rand Score,Silhouette Score,Execution Time
KMeans,"{'init': 'k-means++', 'max_iter': 100, 'n_clusters': 10}",0.019422981540427483,0.3664110678342812,0.10443205717912475,16.961902141571045
KMeans,"{'init': 'k-means++', 'max_iter': 100, 'n_clusters': 20}",0.00039455092536407,0.5015279153979466,0.08889735402304971,38.17227077484131
KMeans,"{'init': 'k-means++', 'max_iter': 100, 'n_clusters': 30}",0.058829401255197054,0.47727598707293195,0.08219563162506349,44.612993240356445
KMeans,"{'init': 'k-means++', 'max_iter': 100, 'n_clusters': 35}",0.047312685116590356,0.4623398899363311,0.07439001484281849,49.573546171188354
KMeans,"{'init': 'k-means++', 'max_iter': 300, 'n_clusters': 10}",0.0018386837188669315,0.3746997771109154,0.10364149635115719,16.90589165687561
KMeans,"{'init': 'k-means++', 'max_iter': 300, 'n_clusters': 20}",0.04551011933858387,0.46935544496704623,0.10272791767609635,31.237194776535034
KMeans,"{'init': 'k-means++', 'max_iter': 300, 'n_clusters': 30}",0.0070671123422892295,0.47987571272503754,0.07854900923976066,40.418872117996216
KMeans,"{'init': 'k-means++', 'max_iter': 300, 'n_clusters': 35}",0.018166666947516195,0.4321470245918214,0.07549371952445981,51.83781933784485
KMeans,"{'init': 'k-means++', 'max_iter': 500, 'n_clusters': 10}",0.001040317863852384,0.3691005829491405,0.10439072564541955,16.5058491230011
KMeans,"{'init': 'k-means++', 'max_iter': 500, 'n_clusters': 20}",0.053887724297191186,0.4470248551292677,0.09569040442453927,25.690876245498657
KMeans,"{'init': 'k-means++', 'max_iter': 500, 'n_clusters': 30}",0.0030080254228587767,0.4864319727404091,0.07980192538237478,38.22827935218811
KMeans,"{'init': 'k-means++', 'max_iter': 500, 'n_clusters': 35}",0.03906504898116984,0.4691534141601017,0.07355991236066954,49.46143579483032
KMeans,"{'init': 'random', 'max_iter': 100, 'n_clusters': 10}",0.04879803718754624,0.36592998616496947,0.10442532344454859,18.618083715438843
KMeans,"{'init': 'random', 'max_iter': 100, 'n_clusters': 20}",0.031426473593638024,0.492218366469447,0.09114518720471405,35.908013343811035
KMeans,"{'init': 'random', 'max_iter': 100, 'n_clusters': 30}",0.04199179633780658,0.4958804315634719,0.08059733039931477,38.49366331100464
KMeans,"{'init': 'random', 'max_iter': 100, 'n_clusters': 35}",0.05559310831827652,0.4669340199971666,0.07267059974436739,36.535480976104736
KMeans,"{'init': 'random', 'max_iter': 300, 'n_clusters': 10}",0.020489468103881008,0.36746393196528604,0.10444148785072414,18.866668462753296
KMeans,"{'init': 'random', 'max_iter': 300, 'n_clusters': 20}",0.08918985594975122,0.4810754644432147,0.08735957170295026,29.88923454284668
KMeans,"{'init': 'random', 'max_iter': 300, 'n_clusters': 30}",0.07019024549428356,0.47550188023653917,0.08330624270172975,36.308069467544556
KMeans,"{'init': 'random', 'max_iter': 300, 'n_clusters': 35}",0.03452857461530429,0.4744029780826165,0.07856219786720324,42.34228563308716
KMeans,"{'init': 'random', 'max_iter': 500, 'n_clusters': 10}",0.0003057618732465247,0.3639539605804633,0.10552512264203556,14.905998468399048
KMeans,"{'init': 'random', 'max_iter': 500, 'n_clusters': 20}",0.019656953951746214,0.44701530356655883,0.10355949739931591,28.79916501045227
KMeans,"{'init': 'random', 'max_iter': 500, 'n_clusters': 30}",0.043473783808220166,0.466723719196887,0.07964746478557425,31.56136202812195
KMeans,"{'init': 'random', 'max_iter': 500, 'n_clusters': 35}",0.011301558900478625,0.4573280825688637,0.07483260666630004,41.42298412322998
