Algorithm,Parameters,F1 Score,Adjusted Rand Score,Silhouette Score,Execution Time
KMeans,"{'init': 'k-means++', 'max_iter': 100, 'n_clusters': 2}",0.01674890350877193,0.06640997459064131,0.21511269273323935,0.390683650970459
KMeans,"{'init': 'k-means++', 'max_iter': 100, 'n_clusters': 3}",0.018033149171270718,0.05937310234956511,0.17398780001375197,0.389390230178833
KMeans,"{'init': 'k-means++', 'max_iter': 100, 'n_clusters': 4}",0.02224529261155537,0.1233145974906693,0.18431634461005272,0.34380197525024414
KMeans,"{'init': 'k-means++', 'max_iter': 300, 'n_clusters': 2}",0.01703429810021675,0.06636244055957846,0.21254625034930413,0.32854461669921875
KMeans,"{'init': 'k-means++', 'max_iter': 300, 'n_clusters': 3}",0.025053431322332256,0.05471903065467202,0.1739434194631302,0.3125441074371338
KMeans,"{'init': 'k-means++', 'max_iter': 300, 'n_clusters': 4}",0.021165202027246942,0.1233145974906693,0.18431634461005272,0.26566433906555176
KMeans,"{'init': 'k-means++', 'max_iter': 500, 'n_clusters': 2}",0.01703429810021675,0.06636244055957846,0.21254625034930413,0.2187809944152832
KMeans,"{'init': 'k-means++', 'max_iter': 500, 'n_clusters': 3}",0.017202548078374544,0.05970365880308744,0.17298411019584514,0.24905180931091309
KMeans,"{'init': 'k-means++', 'max_iter': 500, 'n_clusters': 4}",0.02141500474833808,0.121481344465092,0.18321720313589643,0.23441004753112793
KMeans,"{'init': 'random', 'max_iter': 100, 'n_clusters': 2}",0.01674890350877193,0.06640997459064131,0.21511269273323935,0.21877837181091309
KMeans,"{'init': 'random', 'max_iter': 100, 'n_clusters': 3}",0.02402694027887398,0.05574606055258993,0.1735011399652384,0.2031538486480713
KMeans,"{'init': 'random', 'max_iter': 100, 'n_clusters': 4}",0.016934021481378153,0.1233145974906693,0.18431634461005272,0.2487025260925293
KMeans,"{'init': 'random', 'max_iter': 300, 'n_clusters': 2}",0.01671609230664349,0.06704787746425744,0.21265778037136715,0.21878266334533691
KMeans,"{'init': 'random', 'max_iter': 300, 'n_clusters': 3}",0.025104231423932463,0.05471903065467202,0.1739434194631302,0.2187824249267578
KMeans,"{'init': 'random', 'max_iter': 300, 'n_clusters': 4}",0.024671575124057796,0.11543131465445705,0.18183163041343267,0.2187819480895996
KMeans,"{'init': 'random', 'max_iter': 500, 'n_clusters': 2}",0.013952850877192984,0.06640997459064131,0.21511269273323935,0.21516084671020508
KMeans,"{'init': 'random', 'max_iter': 500, 'n_clusters': 3}",0.018033149171270718,0.05937310234956511,0.17398780001375197,0.2187798023223877
KMeans,"{'init': 'random', 'max_iter': 500, 'n_clusters': 4}",0.02741615958814781,0.1233145974906693,0.18431634461005272,0.23440909385681152
AgglomerativeClustering,"{'affinity': 'euclidean', 'linkage': 'complete', 'n_clusters': 2}",0.02064144736842105,0.038308602588352926,0.08270667514447526,0.03125429153442383
AgglomerativeClustering,"{'affinity': 'euclidean', 'linkage': 'complete', 'n_clusters': 3}",0.015556403085007204,0.06342801187955094,0.10702774802704772,0.031255245208740234
AgglomerativeClustering,"{'affinity': 'euclidean', 'linkage': 'complete', 'n_clusters': 4}",0.01948808177286247,0.10935743514931297,0.13989453389964174,0.04688119888305664
AgglomerativeClustering,"{'affinity': 'euclidean', 'linkage': 'complete', 'n_clusters': 5}",0.0012232415902140674,0.10946737618423082,0.1284421335729918,0.04688096046447754
AgglomerativeClustering,"{'affinity': 'euclidean', 'linkage': 'average', 'n_clusters': 2}",0.00935672514619883,0.013501566174375246,0.18513086219709274,0.03125572204589844
AgglomerativeClustering,"{'affinity': 'euclidean', 'linkage': 'average', 'n_clusters': 3}",0.007973421926910298,0.03391850027233733,0.1857300492714489,0.03125476837158203
AgglomerativeClustering,"{'affinity': 'euclidean', 'linkage': 'average', 'n_clusters': 4}",0.023118503118503123,0.03615651762085459,0.16434133718883448,0.015625715255737305
AgglomerativeClustering,"{'affinity': 'euclidean', 'linkage': 'average', 'n_clusters': 5}",0.011189189189189189,0.0363258571509713,0.1530161762208982,0.03125333786010742
AgglomerativeClustering,"{'affinity': 'manhattan', 'linkage': 'complete', 'n_clusters': 2}",0.018083670715249665,0.02808765590648876,0.15630866760515502,0.025114059448242188
AgglomerativeClustering,"{'affinity': 'manhattan', 'linkage': 'complete', 'n_clusters': 3}",0.026068376068376066,0.05258600689380883,0.12361795233222214,0.03125715255737305
AgglomerativeClustering,"{'affinity': 'manhattan', 'linkage': 'complete', 'n_clusters': 4}",0.030407626561472716,0.08167869517916997,0.14997147239963574,0.015624761581420898
AgglomerativeClustering,"{'affinity': 'manhattan', 'linkage': 'complete', 'n_clusters': 5}",0.08382653454363002,0.08537880071665588,0.1502540613141276,0.03125166893005371
AgglomerativeClustering,"{'affinity': 'manhattan', 'linkage': 'average', 'n_clusters': 2}",0.018973771551091142,0.037282059526046116,0.21563147104612201,0.03125286102294922
AgglomerativeClustering,"{'affinity': 'manhattan', 'linkage': 'average', 'n_clusters': 3}",0.023117775695095284,0.04119079072389985,0.20468037501828903,0.0312504768371582
AgglomerativeClustering,"{'affinity': 'manhattan', 'linkage': 'average', 'n_clusters': 4}",0.021522879363356843,0.04109685837835278,0.18794745315304356,0.03125190734863281
AgglomerativeClustering,"{'affinity': 'manhattan', 'linkage': 'average', 'n_clusters': 5}",0.010996563573883162,0.04233006651817714,0.1859962706023176,0.03125286102294922
AgglomerativeClustering,"{'affinity': 'cosine', 'linkage': 'complete', 'n_clusters': 2}",0.00718562874251497,0.020910252289034578,0.18652291456768502,0.03125429153442383
AgglomerativeClustering,"{'affinity': 'cosine', 'linkage': 'complete', 'n_clusters': 3}",0.008247422680412371,0.04197337703386839,0.20296814713531727,0.03125143051147461
AgglomerativeClustering,"{'affinity': 'cosine', 'linkage': 'complete', 'n_clusters': 4}",0.02402623699602329,0.08534077125011895,0.15367022691451926,0.031252384185791016
AgglomerativeClustering,"{'affinity': 'cosine', 'linkage': 'complete', 'n_clusters': 5}",0.042090059906603146,0.08268820304835812,0.14756719613508887,0.03125190734863281
AgglomerativeClustering,"{'affinity': 'cosine', 'linkage': 'average', 'n_clusters': 2}",0.00835509138381201,0.0,0.2401952334233499,0.03125119209289551
AgglomerativeClustering,"{'affinity': 'cosine', 'linkage': 'average', 'n_clusters': 3}",0.008027923211169284,-2.1407397717198874e-06,0.1250557384970581,0.031253814697265625
AgglomerativeClustering,"{'affinity': 'cosine', 'linkage': 'average', 'n_clusters': 4}",0.014300194931773877,0.011519238611355448,0.12897677249535192,0.031250953674316406
AgglomerativeClustering,"{'affinity': 'cosine', 'linkage': 'average', 'n_clusters': 5}",0.021854636591478696,0.05170792494844399,0.16660469856662802,0.03125596046447754
DBSCAN,"{'eps': 0.5, 'min_samples': 3}",0.08504088504088503,0.023263103964090627,-0.23726299328658257,0.0312504768371582
DBSCAN,"{'eps': 0.5, 'min_samples': 5}",0.0,0.00584497815349779,-0.2854360248730038,0.03125429153442383
DBSCAN,"{'eps': 0.5, 'min_samples': 7}",0.0,0.0013479220037235008,-0.14037093026988157,0.031255483627319336
DBSCAN,"{'eps': 1.0, 'min_samples': 3}",0.01981390257252326,0.11489425706442194,-0.01060003031743467,0.048760175704956055
DBSCAN,"{'eps': 1.0, 'min_samples': 5}",0.05521072796934866,0.0960895001901023,-0.04987927656376449,0.03125739097595215
DBSCAN,"{'eps': 1.0, 'min_samples': 7}",0.011216931216931217,0.06234306786005316,-0.01839736206867433,0.03125286102294922
DBSCAN,"{'eps': 1.5, 'min_samples': 3}",0.027671813502876175,0.002544739679321529,0.08480435714418925,0.03125476837158203
DBSCAN,"{'eps': 1.5, 'min_samples': 5}",0.0273224043715847,0.0029430819964381847,0.08312472694139886,0.031255483627319336
DBSCAN,"{'eps': 1.5, 'min_samples': 7}",0.027364554637281914,0.0028797545165056586,0.08260461398285582,0.031253814697265625
OPTICS,"{'min_samples': 3, 'xi': 0.01}",0.09666575442437511,0.053055760510648,0.03237414139043082,7.475340843200684
OPTICS,"{'min_samples': 3, 'xi': 0.05}",0.09666575442437511,0.04628641248097787,0.0032395620351852754,6.915823936462402
OPTICS,"{'min_samples': 3, 'xi': 0.1}",0.05981390257252327,0.040356788621031675,-0.02555152899214305,6.944476127624512
OPTICS,"{'min_samples': 5, 'xi': 0.01}",0.026666666666666672,0.08341955783916281,-0.042729400350806634,7.316499710083008
OPTICS,"{'min_samples': 5, 'xi': 0.05}",0.09496738117427773,0.061112340810960356,-0.0864929753488525,7.770083904266357
OPTICS,"{'min_samples': 5, 'xi': 0.1}",0.01839080459770115,0.03946702092844249,-0.1580842320296846,7.256877899169922
OPTICS,"{'min_samples': 7, 'xi': 0.01}",0.0,0.05595334939586459,-0.038837122061808456,7.2117698192596436
OPTICS,"{'min_samples': 7, 'xi': 0.05}",0.013333333333333336,0.02429342432707177,-0.15361480877485004,7.180531978607178
OPTICS,"{'min_samples': 7, 'xi': 0.1}",0.0,0.014319368990362945,-0.0854809862666457,7.1784703731536865
GaussianMixture,"{'covariance_type': 'full', 'max_iter': 100, 'n_components': 2}",0.014996162081363876,0.089081644451744,0.07129476223881355,0.0937645435333252
GaussianMixture,"{'covariance_type': 'full', 'max_iter': 100, 'n_components': 3}",0.02464931875426957,0.06006524575646104,0.1721243050225301,0.06250762939453125
GaussianMixture,"{'covariance_type': 'full', 'max_iter': 100, 'n_components': 4}",0.02402121893559361,0.0754162293792751,0.18877114922093208,0.06251144409179688
GaussianMixture,"{'covariance_type': 'full', 'max_iter': 300, 'n_components': 2}",0.021902412280701757,0.049757309700396345,0.04034238466561917,0.1559765338897705
GaussianMixture,"{'covariance_type': 'full', 'max_iter': 300, 'n_components': 3}",0.017056766209308582,0.058753411095235776,0.16791182604146235,0.07813715934753418
GaussianMixture,"{'covariance_type': 'full', 'max_iter': 300, 'n_components': 4}",0.039476993341933955,0.11702391772610475,0.18067487873083854,0.07813835144042969
GaussianMixture,"{'covariance_type': 'full', 'max_iter': 500, 'n_components': 2}",0.014956892376247215,0.09011549507853138,0.07119556432015525,0.07813525199890137
GaussianMixture,"{'covariance_type': 'full', 'max_iter': 500, 'n_components': 3}",0.031023199023199024,0.10944549165400583,0.11924618806540771,0.20315074920654297
GaussianMixture,"{'covariance_type': 'full', 'max_iter': 500, 'n_components': 4}",0.01779197080291971,0.11147966132045505,0.17271621060230583,0.12502050399780273
GaussianMixture,"{'covariance_type': 'tied', 'max_iter': 100, 'n_components': 2}",0.017451098525926818,0.04051169640639804,0.1400713471308733,0.07813906669616699
GaussianMixture,"{'covariance_type': 'tied', 'max_iter': 100, 'n_components': 3}",0.010063492063492064,0.07222456783319305,0.14452787949769277,0.12502360343933105
GaussianMixture,"{'covariance_type': 'tied', 'max_iter': 100, 'n_components': 4}",0.04169421231771261,0.07617628830711691,0.16839859439732632,0.10625338554382324
GaussianMixture,"{'covariance_type': 'tied', 'max_iter': 300, 'n_components': 2}",0.01674890350877193,0.06768205315864614,0.21448265260750551,0.06250929832458496
GaussianMixture,"{'covariance_type': 'tied', 'max_iter': 300, 'n_components': 3}",0.015656151341139037,0.0770470923675637,0.19908902686990418,0.06251072883605957
GaussianMixture,"{'covariance_type': 'tied', 'max_iter': 300, 'n_components': 4}",0.02397750869088449,0.1607070557760971,0.16864869316123263,0.10939216613769531
GaussianMixture,"{'covariance_type': 'tied', 'max_iter': 500, 'n_components': 2}",0.013952850877192984,0.06768205315864614,0.21448265260750551,0.04688143730163574
GaussianMixture,"{'covariance_type': 'tied', 'max_iter': 500, 'n_components': 3}",0.010319594517511693,0.0697701284628114,0.15474587246350058,0.09376120567321777
GaussianMixture,"{'covariance_type': 'tied', 'max_iter': 500, 'n_components': 4}",0.03229149164712004,0.13111232432374756,0.1490043293421526,0.24839448928833008
GaussianMixture,"{'covariance_type': 'diag', 'max_iter': 100, 'n_components': 2}",0.011713140282826311,0.03470322506351586,0.15896585733946636,0.046881675720214844
GaussianMixture,"{'covariance_type': 'diag', 'max_iter': 100, 'n_components': 3}",0.03181880320636302,0.06750979517409862,0.16065010369998742,0.04688143730163574
GaussianMixture,"{'covariance_type': 'diag', 'max_iter': 100, 'n_components': 4}",0.011595178020745724,0.11304641583231444,0.17201372705836968,0.04112577438354492
GaussianMixture,"{'covariance_type': 'diag', 'max_iter': 300, 'n_components': 2}",0.014584107020540879,0.06584374394843133,0.20125609700932587,0.04688072204589844
GaussianMixture,"{'covariance_type': 'diag', 'max_iter': 300, 'n_components': 3}",0.02819342180520261,0.08046109864138846,0.13995699770496992,0.06250858306884766
GaussianMixture,"{'covariance_type': 'diag', 'max_iter': 300, 'n_components': 4}",0.007272727272727273,0.12514268731443814,0.1677393294785894,0.04688215255737305
GaussianMixture,"{'covariance_type': 'diag', 'max_iter': 500, 'n_components': 2}",0.017277776402333852,0.06584374394843133,0.20125609700932587,0.03125405311584473
GaussianMixture,"{'covariance_type': 'diag', 'max_iter': 500, 'n_components': 3}",0.019042484918495698,0.10446692804338521,0.15417667975390376,0.04688239097595215
GaussianMixture,"{'covariance_type': 'diag', 'max_iter': 500, 'n_components': 4}",0.04179709432902863,0.13211459964016897,0.17617990555283258,0.06250858306884766
GaussianMixture,"{'covariance_type': 'spherical', 'max_iter': 100, 'n_components': 2}",0.017768817204301075,0.06743812642234334,0.21083314754316007,0.046881675720214844
GaussianMixture,"{'covariance_type': 'spherical', 'max_iter': 100, 'n_components': 3}",0.021493061151401198,0.07264485080777425,0.16273020219253118,0.04688239097595215
GaussianMixture,"{'covariance_type': 'spherical', 'max_iter': 100, 'n_components': 4}",0.020340729168865715,0.11815914582893654,0.1615569270943667,0.046881675720214844
GaussianMixture,"{'covariance_type': 'spherical', 'max_iter': 300, 'n_components': 2}",0.017725584663254038,0.07075923192885869,0.20920963088283043,0.03125476837158203
GaussianMixture,"{'covariance_type': 'spherical', 'max_iter': 300, 'n_components': 3}",0.02731807096215876,0.0681388961201432,0.17982135350251247,0.031252384185791016
